"","age_group","severity_label","severity_coeff","immunity_type","waning_group"
"47","18-49 years","severity_1",0.161177038795112,"hybrid/infection-only",1
"48","50-64 years","severity_1",0.165785597792077,"hybrid/infection-only",1
"49","65-74 years","severity_1",0.191121565929884,"hybrid/infection-only",1
"50","75+ years","severity_1",0.191121565929884,"hybrid/infection-only",1
"51","0-17 years","severity_2",0.147402992396391,"hybrid/infection-only",2
"52","18-49 years","severity_2",0.147402992396391,"hybrid/infection-only",2
"53","50-64 years","severity_2",0.151617708039922,"hybrid/infection-only",2
"54","65-74 years","severity_2",0.174788486872257,"hybrid/infection-only",2
"55","75+ years","severity_2",0.174788486872257,"hybrid/infection-only",2
"56","0-17 years","severity_3",0.140826269681743,"hybrid/infection-only",3
"57","18-49 years","severity_3",0.140826269681743,"hybrid/infection-only",3
"58","50-64 years","severity_3",0.144852936116381,"hybrid/infection-only",3
"59","65-74 years","severity_3",0.166989897486904,"hybrid/infection-only",3
"60","75+ years","severity_3",0.166989897486904,"hybrid/infection-only",3
"61","0-17 years","severity_4",0.136686273743317,"hybrid/infection-only",4
"62","18-49 years","severity_4",0.136686273743317,"hybrid/infection-only",4
"63","50-64 years","severity_4",0.140594564659507,"hybrid/infection-only",4
"64","65-74 years","severity_4",0.162080745956325,"hybrid/infection-only",4
"65","75+ years","severity_4",0.162080745956325,"hybrid/infection-only",4
"66","0-17 years","severity_5",0.132562956579935,"hybrid/infection-only",5
"67","18-49 years","severity_5",0.132562956579935,"hybrid/infection-only",5
"68","50-64 years","severity_5",0.136353348876367,"hybrid/infection-only",5
"69","65-74 years","severity_5",0.157191371892983,"hybrid/infection-only",5
"70","75+ years","severity_5",0.157191371892983,"hybrid/infection-only",5
"71","0-17 years","severity_6",0.128670223774464,"hybrid/infection-only",6
"72","18-49 years","severity_6",0.128670223774464,"hybrid/infection-only",6
"73","50-64 years","severity_6",0.132349310583914,"hybrid/infection-only",6
"74","65-74 years","severity_6",0.152575421661548,"hybrid/infection-only",6
"75","75+ years","severity_6",0.152575421661548,"hybrid/infection-only",6
"76","0-17 years","severity_7",0.124619482892003,"hybrid/infection-only",7
"77","18-49 years","severity_7",0.124619482892003,"hybrid/infection-only",7
"78","50-64 years","severity_7",0.128182746266068,"hybrid/infection-only",7
"79","65-74 years","severity_7",0.147772107576492,"hybrid/infection-only",7
"80","75+ years","severity_7",0.147772107576492,"hybrid/infection-only",7
"81","0-17 years","severity_8",0.120948039413467,"hybrid/infection-only",8
"82","18-49 years","severity_8",0.120948039413467,"hybrid/infection-only",8
"83","50-64 years","severity_8",0.124406324659126,"hybrid/infection-only",8
"84","65-74 years","severity_8",0.143418559254185,"hybrid/infection-only",8
"85","75+ years","severity_8",0.143418559254185,"hybrid/infection-only",8
