"","age_group","immunity_type","waning_group","proportion","num_people"
"180","75+ years","hybrid/infection-only",16,0.000746,1829
"181","75+ years","hybrid/infection-only",17,0.001177,2885
"182","75+ years","hybrid/infection-only",18,0.001571,3851
"183","75+ years","hybrid/infection-only",19,0.001666,4084
"184","75+ years","hybrid/infection-only",20,0.000757,1856
"185","75+ years","hybrid/infection-only",21,0.000887,2174
"186","75+ years","hybrid/infection-only",22,8.6e-05,211
"187","75+ years","immune-naive",NA,0.119947,294043
"188","75+ years","recovered",1,0.008346,20460
"189","75+ years","recovered",2,0.008017,19653
"190","75+ years","recovered",3,0.009459,23188
"191","75+ years","recovered",4,0.002015,4940
"192","75+ years","vaccine-only",1,0.025849,63367
"193","75+ years","vaccine-only",2,0.098664,241869
"194","75+ years","vaccine-only",3,0.226565,555412
"195","75+ years","vaccine-only",4,0.096606,236824
"196","75+ years","vaccine-only",5,0.001938,4751
"197","75+ years","vaccine-only",6,0.001472,3609
"198","75+ years","vaccine-only",7,0.001948,4775
"199","75+ years","vaccine-only",8,0.003122,7653
"200","75+ years","vaccine-only",9,0.01067,26157
"201","75+ years","vaccine-only",10,0.036389,89206
"202","75+ years","vaccine-only",11,0.080926,198386
"203","75+ years","vaccine-only",12,0.048235,118245
"204","75+ years","vaccine-only",13,0.000814,1995
