"","age_group","immunity_type","waning_group","proportion","num_people"
"120","50-64 years","vaccine-only",11,0.020287,147100
"121","50-64 years","vaccine-only",12,0.008835,64062
"122","50-64 years","vaccine-only",13,0.003086,22376
"123","50-64 years","vaccine-only",14,1.2e-05,87
"124","65-74 years","hybrid/infection-only",1,0.010319,34947
"125","65-74 years","hybrid/infection-only",2,0.03759,127305
"126","65-74 years","hybrid/infection-only",3,0.077225,261536
"127","65-74 years","hybrid/infection-only",4,0.034455,116688
"128","65-74 years","hybrid/infection-only",5,0.006976,23625
"129","65-74 years","hybrid/infection-only",6,0.006302,21343
"130","65-74 years","hybrid/infection-only",7,0.002149,7278
"131","65-74 years","hybrid/infection-only",8,0.004304,14576
"132","65-74 years","hybrid/infection-only",9,0.00854,28922
"133","65-74 years","hybrid/infection-only",10,0.019939,67527
"134","65-74 years","hybrid/infection-only",11,0.025954,87898
"135","65-74 years","hybrid/infection-only",12,0.012217,41375
"136","65-74 years","hybrid/infection-only",13,0.006014,20367
"137","65-74 years","hybrid/infection-only",14,0.005321,18020
"138","65-74 years","hybrid/infection-only",15,0.001005,3404
"139","65-74 years","hybrid/infection-only",16,0.000509,1724
"140","65-74 years","hybrid/infection-only",17,0.000729,2469
"141","65-74 years","hybrid/infection-only",18,0.001063,3600
"142","65-74 years","hybrid/infection-only",19,0.001148,3888
"143","65-74 years","hybrid/infection-only",20,0.000526,1781
"144","65-74 years","hybrid/infection-only",21,0.000591,2002
"145","65-74 years","hybrid/infection-only",22,6.2e-05,210
"146","65-74 years","immune-naive",NA,0.061847,209455
"147","65-74 years","recovered",1,0.010203,34554
"148","65-74 years","recovered",2,0.01009,34172
"149","65-74 years","recovered",3,0.01105,37423
"150","65-74 years","recovered",4,0.002388,8087
"151","65-74 years","vaccine-only",1,0.028297,95833
"152","65-74 years","vaccine-only",2,0.100891,341685
"153","65-74 years","vaccine-only",3,0.208068,704658
"154","65-74 years","vaccine-only",4,0.087149,295145
"155","65-74 years","vaccine-only",5,0.002542,8609
"156","65-74 years","vaccine-only",6,0.002125,7197
"157","65-74 years","vaccine-only",7,0.002847,9642
"158","65-74 years","vaccine-only",8,0.011252,38107
"159","65-74 years","vaccine-only",9,0.023859,80803
"160","65-74 years","vaccine-only",10,0.060201,203881
"161","65-74 years","vaccine-only",11,0.078518,265915
"162","65-74 years","vaccine-only",12,0.034207,115848
"163","65-74 years","vaccine-only",13,0.001512,5121
"164","65-74 years","vaccine-only",14,1.6e-05,54
"165","75+ years","hybrid/infection-only",1,0.009071,22237
"166","75+ years","hybrid/infection-only",2,0.034454,84462
"167","75+ years","hybrid/infection-only",3,0.078635,192769
"168","75+ years","hybrid/infection-only",4,0.035486,86992
"169","75+ years","hybrid/infection-only",5,0.006949,17035
"170","75+ years","hybrid/infection-only",6,0.0062,15199
"171","75+ years","hybrid/infection-only",7,0.002047,5018
"172","75+ years","hybrid/infection-only",8,0.001655,4057
"173","75+ years","hybrid/infection-only",9,0.003965,9720
"174","75+ years","hybrid/infection-only",10,0.011722,28736
"175","75+ years","hybrid/infection-only",11,0.025379,62215
"176","75+ years","hybrid/infection-only",12,0.017474,42837
"177","75+ years","hybrid/infection-only",13,0.010445,25605
"178","75+ years","hybrid/infection-only",14,0.009626,23598
"179","75+ years","hybrid/infection-only",15,0.001852,4540
"180","75+ years","hybrid/infection-only",16,0.000913,2238
"181","75+ years","hybrid/infection-only",17,0.00137,3358
"182","75+ years","hybrid/infection-only",18,0.001904,4668
"183","75+ years","hybrid/infection-only",19,0.001978,4849
"184","75+ years","hybrid/infection-only",20,0.000933,2287
"185","75+ years","hybrid/infection-only",21,0.001013,2483
"186","75+ years","hybrid/infection-only",22,0.000111,272
"187","75+ years","immune-naive",NA,0.112034,274645
"188","75+ years","recovered",1,0.010085,24723
"189","75+ years","recovered",2,0.009845,24134
"190","75+ years","recovered",3,0.011141,27312
"191","75+ years","recovered",4,0.002416,5923
"192","75+ years","vaccine-only",1,0.024178,59271
"193","75+ years","vaccine-only",2,0.092056,225670
"194","75+ years","vaccine-only",3,0.21162,518775
"195","75+ years","vaccine-only",4,0.09023,221194
"196","75+ years","vaccine-only",5,0.001808,4432
"197","75+ years","vaccine-only",6,0.001377,3376
"198","75+ years","vaccine-only",7,0.001824,4471
"199","75+ years","vaccine-only",8,0.002913,7141
"200","75+ years","vaccine-only",9,0.009994,24500
"201","75+ years","vaccine-only",10,0.034005,83361
"202","75+ years","vaccine-only",11,0.075527,185150
"203","75+ years","vaccine-only",12,0.045004,110325
"204","75+ years","vaccine-only",13,0.000761,1866
