"","age_group","immunity_type","waning_group","proportion","num_people"
"171","75+ years","hybrid/infection-only",7,0.001378,3378
"172","75+ years","hybrid/infection-only",8,0.00109,2672
"173","75+ years","hybrid/infection-only",9,0.002583,6332
"174","75+ years","hybrid/infection-only",10,0.007764,19033
"175","75+ years","hybrid/infection-only",11,0.016847,41299
"176","75+ years","hybrid/infection-only",12,0.01168,28633
"177","75+ years","hybrid/infection-only",13,0.006886,16881
"178","75+ years","hybrid/infection-only",14,0.006366,15606
"179","75+ years","hybrid/infection-only",15,0.001231,3018
"180","75+ years","hybrid/infection-only",16,0.000609,1493
"181","75+ years","hybrid/infection-only",17,0.000891,2184
"182","75+ years","hybrid/infection-only",18,0.001272,3118
"183","75+ years","hybrid/infection-only",19,0.001348,3305
"184","75+ years","hybrid/infection-only",20,0.00063,1544
"185","75+ years","hybrid/infection-only",21,0.000706,1731
"186","75+ years","hybrid/infection-only",22,6.7e-05,164
"187","75+ years","immune-naive",NA,0.127822,313349
"188","75+ years","recovered",1,0.006599,16177
"189","75+ years","recovered",2,0.006454,15822
"190","75+ years","recovered",3,0.007591,18609
"191","75+ years","recovered",4,0.001548,3795
"192","75+ years","vaccine-only",1,0.027486,67380
"193","75+ years","vaccine-only",2,0.105381,258336
"194","75+ years","vaccine-only",3,0.241656,592406
"195","75+ years","vaccine-only",4,0.102983,252457
"196","75+ years","vaccine-only",5,0.002073,5082
"197","75+ years","vaccine-only",6,0.001575,3861
"198","75+ years","vaccine-only",7,0.00207,5074
"199","75+ years","vaccine-only",8,0.00331,8114
"200","75+ years","vaccine-only",9,0.011385,27910
"201","75+ years","vaccine-only",10,0.038916,95400
"202","75+ years","vaccine-only",11,0.086464,211962
"203","75+ years","vaccine-only",12,0.051432,126083
"204","75+ years","vaccine-only",13,0.000866,2123
